,Unnamed: 0,Unnamed: 0.1,mid,name,sex,level,has_fans_badge,title,has_live_room,zone,following,follower,follower_mid_list
0,0,546195,546195,老番茄,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '生活': 52, '影视': 1, '音乐': 6, '游戏': 294}",1,13825932,[748709]
1,1,321173469,321173469,哔哩哔哩大会员,男,6,False,哔哩哔哩大会员官方账号,1,"{'动画': 1, '时尚': 1, '生活': 11, '影视': 2, '美食': 1}",67,12208241,"[489412051, 2, 28330240, 174501086, 98627270, 1328260, 14110780, 9617619, 163637592, 337521240, 235555226, 16351122, 284424, 389088, 466272, 2306780, 113362335, 1774758, 617285, 241832237, 402923390, 382651856, 280793434, 7552204, 416128940, 19642758, 390461123, 546195, 777536, 32708543, 946974, 208259, 928123, 7584632, 37090048, 26366366, 15773384, 8047632]"
2,2,517327498,517327498,罗翔说刑法,保密,6,True,bilibili 知名UP主、直播签约主播,1,"{'动画': 1, '生活': 1, '纪录片': 1, '影视': 1, '美食': 2, '知识': 109, '游戏': 1, '娱乐': 1}",10,11569562,"[37090048, 208259, 235555226]"
3,3,777536,777536,LexBurner,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 191, '生活': 41, '国创': 4, '影视': 4, '资讯': 1, '音乐': 1, '知识': 1, '游戏': 147}",35,9398517,"[147166910, 517327498, 433351, 627888730, 1351379, 5970160, 2206456, 13354765, 546195, 562197, 59905809, 466272, 9824766, 1577804, 208259, 168598, 26311441, 11336264, 7349]"
4,4,9824766,9824766,敬汉卿,男,6,True,bilibili 2019百大UP主、2019年度弹幕人气奖UP主,1,"{'舞蹈': 1, '时尚': 2, '生活': 1008, '数码': 6, '美食': 56, '音乐': 2, '知识': 6, '游戏': 6, '娱乐': 2}",78,9047669,"[9617619, 102999485, 174501086, 116683, 163637592, 122879, 37663924, 94114029, 295723, 353539995, 5970160, 491593210, 486633990, 14583962, 22141287, 562197, 37090048, 337521240, 355596637, 29329085, 67141499, 265059948, 5771902, 416128940, 20165629, 777536, 437316738, 51896064, 20615621, 161419374, 2920960, 3032988, 37961599, 7956629, 3766866, 13354765, 235555226, 19642758, 390461123, 75, 414641554, 3957971, 808171, 9008159, 4474705, 32820037, 208259, 176037767, 11336264]"
5,5,20165629,20165629,共青团中央,保密,6,True,共青团中央 官方账号,1,"{'动画': 16, '电视剧': 21, '鬼畜': 7, '舞蹈': 6, '时尚': 8, '生活': 257, '国创': 34, '纪录片': 109, '影视': 79, '数码': 3, '资讯': 1581, '美食': 4, '电影': 2, '音乐': 236, '知识': 617, '游戏': 14, '娱乐': 36}",456,7620701,"[50063223, 81824112, 719238, 517327498, 9617619, 21562856, 526559715, 473837611, 684169, 5055, 3046429, 434346657, 423442, 15262818, 258844831, 33775467, 40966108, 3380239, 394067394, 19577966, 163637592, 384298638, 451320374, 452161580, 430969192, 351914826, 777536, 456664753, 433587902, 10128411, 85318798, 808171, 9824766, 486183, 437316738, 20615621, 33683045, 2929048, 2920960, 250475408, 26366366, 32708543, 2374194, 102999485, 235555226, 312030557, 349721082, 15773384]"
6,6,14110780,14110780,凉风Kaze,保密,6,True,bilibili  2019百大UP主、知名UP主,1,"{'动画': 232, '生活': 60, '国创': 6, '纪录片': 1, '影视': 27, '资讯': 1, '音乐': 1, '知识': 4, '游戏': 4}",13,7632050,"[730732, 63231, 8366990, 208259, 41273726, 517327498, 235555226, 808171, 397540531]"
7,7,19577966,19577966,李子柒,保密,6,False,bilibili 知名美食UP主,1,"{'时尚': 1, '生活': 15, '美食': 121}",0,7396599,[]
8,8,122879,122879,敖厂长,保密,6,True,bilibili 2018百大UP主、知名UP主,1,"{'生活': 15, '影视': 6, '数码': 7, '美食': 4, '游戏': 322}",17,7392784,"[617285, 5294454, 515993, 254463269, 116683, 9008159, 161419374, 9824766, 52250, 808171, 168598, 546195, 2206456, 777536, 295723, 562197, 295711424]"
9,9,62540916,62540916,周六野Zoey,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 130, '生活': 28, '美食': 5, '知识': 3, '娱乐': 1}",28,7381215,"[92568184, 604003146, 49494871, 326246517, 6574487, 3331521, 104207471, 32786875, 7875104, 16307541, 22344481, 37090048, 164139557]"
10,10,50329118,50329118,哔哩哔哩英雄联盟赛事,保密,6,True,哔哩哔哩英雄联盟赛事直播官方账号,1,"{'动画': 1, '鬼畜': 2, '时尚': 1, '生活': 1, '音乐': 4, '游戏': 2651}",55,6894067,"[32660634, 208259, 677063300, 306895558, 42619059, 32365949, 2306780, 32708543, 50329220, 50333369, 11253297, 8047632, 174501086, 37090048, 257851644, 2, 299609985, 9617619, 178778949]"
11,11,562197,562197,中国BOY超级大猩猩,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 5, '生活': 301, '影视': 1, '数码': 6, '美食': 11, '音乐': 4, '知识': 1, '游戏': 1059, '娱乐': 1}",67,6760574,"[337521240, 113362335, 306895558, 9617619, 1526101, 298213453, 546195, 1577804, 8730238, 596324576, 8366990, 122879, 35359510, 3066511, 2403047, 5970160, 25876945, 43976732, 12807175, 63231, 416128940, 777536, 2206456, 9824766, 52250, 808171, 92568184, 13354765, 279583114, 19642758, 7552204, 4408538, 168598, 472747194, 295723, 3766866, 946974, 433351, 3334179, 4162287, 1643718, 15834498, 2728123, 70666, 2019740, 1605721]"
12,12,466272,466272,机智的党妹,保密,6,True,bilibili 2019百大UP主、年度多元创新UP主,1,"{'舞蹈': 7, '时尚': 118, '生活': 43, '美食': 9}",6,6670181,"[21876627, 6534506]"
13,13,1532165,1532165,papi酱,保密,6,True,bilibili 2018百大UP主、知名搞笑UP主,1,"{'时尚': 2, '生活': 197, '美食': 1}",45,6640721,"[231048690, 22121599, 221648, 375375, 8578857]"
14,14,1577804,1577804,某幻君,男,6,True,bilibili 2019百大UP主、 知名UP主,1,"{'动画': 2, '舞蹈': 1, '生活': 33, '影视': 1, '美食': 1, '音乐': 9, '知识': 1, '游戏': 197, '娱乐': 1}",42,6470356,"[9617619, 546195, 2206456, 562197, 345630501, 163637592, 2403047, 17409016, 50329118, 185546, 12807175, 777536, 75, 161419374, 389088, 908383, 43536]"
15,15,10330740,10330740,观察者网,保密,6,True,观察者网 官方账号,1,"{'鬼畜': 1, '舞蹈': 3, '时尚': 7, '生活': 1099, '纪录片': 4, '影视': 90, '数码': 10, '资讯': 6742, '美食': 7, '音乐': 10, '知识': 1022, '游戏': 9, '娱乐': 34}",34,6343353,"[32708543, 648113003, 163637592, 208259, 407045223, 349721082, 346353480, 235555226, 37090048, 52165725, 2306780, 8047632, 20165629, 10303206]"
16,16,18202105,18202105,绵羊料理,女,6,True,bilibili 2019百大UP主、知名美食UP主,1,"{'生活': 10, '美食': 272, '知识': 1}",123,6399507,"[66391032, 254463269, 777536, 4162287, 353539995, 946974, 2920960, 7655977, 5970160, 1643718, 94114029, 927587, 19071708, 646730844, 39627524, 587840959, 1531707, 27756469, 596324576, 347667464, 37663924, 37090048, 3433092, 7552204, 163637592, 326246517, 517327498, 54992199, 452161580, 9824766, 147166910, 11278782, 11336264, 21330948, 295711424, 250111460, 337521240, 7792521, 6574487, 8366990, 279583114, 216156027, 208259, 4408538, 1918296, 10345615, 216623621, 423442, 116683, 2374194, 24314825, 290526283, 808171, 99157282, 483879799, 431047137, 338927049, 26139491, 546195, 113362335, 466272, 414641554, 1526101, 280793434, 402923390, 5632230, 32660634, 1754707, 1420982, 235555226, 4474705, 9008159, 29329085, 19696996, 123938419, 17409016, 8034163, 3032988, 7714, 6171645, 17546432, 375375, 137952, 3334179, 8578857]"
17,17,176037767,176037767,我是郭杰瑞,男,6,True,bilibili 2019百大UP主、 知名UP主,1,"{'生活': 307, '数码': 1, '资讯': 3, '美食': 113}",29,6337513,"[85835398, 1328260, 4162287, 390461123, 123938419, 437316738, 808171, 374716732, 32786875, 375375, 17409016, 4474705, 122879, 3032988, 384212323, 37090048, 250858633, 290526283, 1643718, 32820037, 9824766, 1532165]"
18,18,163637592,163637592,老师好我叫何同学,保密,6,True,bilibili 2019百大UP主、2019年度最佳作品奖UP主,1,"{'生活': 3, '数码': 31, '知识': 5}",252,6296054,"[22141287, 25876945, 14871346, 5970160, 4162287, 27756469, 27218150, 19642758, 284120, 250111460, 26240675, 79061224, 113362335, 21837784, 52250, 10462362, 5294454, 8366990, 285499073, 32820037, 1565155, 17409016, 116683, 196356191, 9824766, 37291782, 10330740, 748709, 730732, 37663924, 2920960, 258150656, 125526, 3353026, 254463269, 1577804, 321173469, 18202105, 7487399, 2206456, 483311105, 3433092, 13807284, 437316738, 119801456, 6154152, 295711424, 6574487, 4474705, 20165629, 208259, 375375, 777536, 337521240, 808171, 326246517, 168598, 562197, 279583114, 7552204, 25910292, 3766866, 25623387, 3066511, 8969156, 11870568, 8960728, 21778636, 546195, 407045223, 63231, 9008159, 11278782, 8047632, 89847338, 11336264, 37090048, 946974, 7349, 3380239, 7458285, 8034163, 20166755, 88461692, 20503549, 12434430]"
19,19,250858633,250858633,华农兄弟,保密,6,True,bilibili 知名UP主,1,"{'生活': 262, '美食': 123, '游戏': 2}",21,6186106,"[1774758, 351914826, 67141499, 25422790, 37090048, 20165629, 9008159, 161419374, 290526283, 176037767]"
20,20,489412051,489412051,哔哩哔哩晚会,保密,6,True,哔哩哔哩晚会官方账号,1,"{'生活': 3, '影视': 1, '数码': 1, '音乐': 32, '娱乐': 170}",16,5967776,"[2, 208259, 37090048, 321173469, 26366366, 9617619, 32708543, 8047632]"
21,21,1935882,1935882,指法芬芳张大仙,男,6,True,知名游戏主播张大仙,1,"{'动画': 1, '鬼畜': 1, '生活': 34, '美食': 3, '音乐': 2, '游戏': 3040}",38,5980670,"[174501086, 456664753, 9458053, 437316738, 1532165, 37663924, 14583962, 40966108, 79061224, 946974, 777536, 88461692, 17171565, 57863910, 472747194, 390461123, 927587, 269319344, 49246269, 37090048, 5374954, 19456751, 3404595, 287003199, 2403047, 375375]"
22,22,883968,883968,暴走漫画,保密,6,True,暴走漫画官方账号,1,"{'舞蹈': 3, '生活': 79, '影视': 30, '游戏': 21, '娱乐': 47}",19,5873151,"[481393564, 235555226, 174501086, 37090048, 20165629, 20646254, 21031789]"
23,23,375375,375375,伊丽莎白鼠,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 68, '生活': 2, '音乐': 1, '游戏': 9}",48,5872182,"[43536, 391679, 116683, 8366990, 2374194, 2920960, 53456, 472747194, 163637592, 235555226, 227933, 8047632, 7792521, 777536, 185546, 546195, 168598, 7714, 1770706, 1532165, 1951038, 423442, 322892, 808171, 423895, 122879]"
24,24,13354765,13354765,徐大虾咯,男,6,True,bilibili 2019百大UP主、2019年度原创栏目奖UP主,1,"{'时尚': 1, '生活': 121, '影视': 1, '美食': 2, '音乐': 1, '知识': 2, '游戏': 100}",60,5784123,"[3957971, 406745134, 12807175, 641975239, 414641554, 466272, 7487399, 11870568, 26240675, 52250, 295723, 5970160, 2728123, 416128940, 280793434, 719238, 147166910, 390461123, 113362335, 436473455, 777536, 8366990, 562197, 483879799, 4408538, 391679, 6574487, 2206456, 4223935, 7956629, 808171, 185546, 9824766, 104207471, 168598, 1577804, 322892, 285499073, 20951119, 279583114, 92568184, 585267, 617285, 43976732, 295711424, 122879, 546195, 7552204, 19642758, 41273726, 28642491, 927587, 294081438]"
25,25,9617619,9617619,哔哩哔哩直播,保密,6,True,哔哩哔哩直播官方账号,1,"{'动画': 13, '鬼畜': 1, '舞蹈': 4, '生活': 115, '影视': 3, '美食': 1, '音乐': 63, '知识': 27, '游戏': 125, '娱乐': 55}",694,5766368,"[2920960, 52250, 8366990, 391679, 183430, 2374194, 2691287, 4162287, 283753310, 10893225, 389088, 416128940, 634131, 269558, 36825256]"
26,26,927587,927587,木鱼水心,男,6,True,bilibili 2019百大UP主、 知名UP主,1,"{'动画': 143, '生活': 3, '国创': 23, '影视': 600, '资讯': 1, '知识': 185, '游戏': 42, '娱乐': 45}",53,5686221,"[12434430, 351899011, 598464467, 5294454, 648113003, 18202105, 284120, 3433092, 532741557, 2374194, 1935882, 3379951, 374692347, 423442, 20165629, 25876945, 294081438, 15773384, 26366366, 10345615, 7487399, 2306780, 1951038, 30643878, 88461692, 3211302, 11684516, 486183, 883968, 122879, 20503549]"
27,27,4162287,4162287,渗透之C君,女,6,True,bilibili 2019百大UP主，知名UP主,1,"{'生活': 20, '数码': 1, '美食': 1, '知识': 2, '游戏': 272}",17,5260840,"[163637592, 26139491, 423442, 433351, 176037767, 684169, 562197, 43536, 256763, 15834498]"
28,28,37663924,37663924,硬核的半佛仙人,保密,6,True,bilibili 知名科技UP主、直播签约主播,1,"{'时尚': 3, '生活': 2, '纪录片': 1, '美食': 3, '知识': 130, '游戏': 2}",130,5196236,"[24301201, 326246517, 7788379, 9617619, 102999485, 235630215, 250111460, 7552204, 617285, 351899011, 295711424, 16794231, 946974, 81824112, 30643878, 50329118, 20165629, 129259501, 99157282, 452309333, 2200736, 13279707, 651039864, 1565155, 648113003, 3743849, 279583114, 479409514, 163637592, 27218150, 4249401, 9008159, 14871346, 9824766, 12820125, 265059948, 337521240, 280793434, 256763, 520155988, 719238, 2403047, 321422126, 42619059, 18706318, 481393564, 39627524, 3766866, 5294454, 18202105, 393166851, 470156882, 35359510, 254463269, 7487399, 176037767, 2929582, 250858633, 437316738, 123938419, 517327498, 546195, 235555226, 37090048, 102984190, 208259, 119801456, 486287787, 367877, 390461123, 321173469]"
29,29,15773384,15773384,哔哩哔哩电影,保密,6,False,哔哩哔哩电影官方账号,1,"{'生活': 1, '影视': 3, '电影': 2503, '音乐': 1}",52,5170109,"[174501086, 7487399, 32708543, 32660634, 5632230, 928123, 321173469, 235555226, 32708587, 927587, 26366366, 16836724, 9617619, 2, 1328260, 98627270, 37090048, 7584632, 208259, 8047632, 4856007]"
30,30,337521240,337521240,记录生活的蛋黄派,保密,6,True,bilibili 2019百大UP主、知名美食UP主,1,"{'时尚': 1, '生活': 22, '纪录片': 1, '资讯': 1, '美食': 452, '知识': 1}",118,5165204,"[1577804, 489412051, 1754707, 295723, 116683, 394609671, 562197, 777536, 456664753, 52190805, 24301201, 7655977, 9617619, 81824112, 8366990, 476704454, 2522486, 28642491, 63231, 438880209, 227107602, 352637817, 113362335, 279583114, 26240675, 3957971, 235555226, 1420982, 94114029, 319438468, 147166910, 347667464, 37663924, 395936853, 515015078, 42619059, 596324576, 320818292, 270105105, 39627524, 353539995, 19577966, 393166851, 67141499, 122879, 35359510, 208259, 470156882, 26139491, 7788379, 517327498, 6574487, 5970160, 99157282, 29329085, 18202105, 466272, 437316738, 346353480, 2920960, 25515594, 285499073, 11870568, 32820037, 9824766, 11336264, 92568184, 9008159, 415479453, 19642758, 338927049, 11278782, 176037767, 107486042, 37090048, 414641554, 163637592, 4474705, 546195, 390461123, 7552204, 37961599, 125526, 431047137, 416128940, 13354765, 17409016, 290526283, 17546432, 22141287, 946974]"
31,31,290526283,290526283,美食作家王刚R,保密,6,True,bilibili 知名美食UP主,1,"{'生活': 25, '美食': 363, '娱乐': 1}",33,5157218,"[9617619, 29329085, 15773384, 11336264, 280793434, 946974, 18202105, 30643878, 321173469, 37090048, 161419374, 250858633, 176037767]"
32,32,2206456,2206456,花少北丶,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 1, '时尚': 1, '生活': 37, '影视': 1, '美食': 1, '音乐': 1, '游戏': 132}",45,5017659,"[2306780, 402923390, 9617619, 591856754, 122879, 1577804, 7552204, 5970160, 12807175, 163637592, 437316738, 777536, 562197, 79061224, 37946996, 51766, 295723, 235555226, 383578614, 546195, 2829782, 38682977, 26023642, 283538, 389088, 374377]"
33,33,456664753,456664753,央视新闻,保密,6,True,央视新闻官方账号,1,"{'动画': 2, '舞蹈': 1, '时尚': 1, '生活': 248, '国创': 1, '纪录片': 15, '影视': 1, '数码': 1, '资讯': 1858, '美食': 2, '音乐': 24, '知识': 76, '娱乐': 8}",16,4988472,"[407045223, 37090048, 39627524, 21778636, 351914826, 7584632, 20165629, 433587902]"
34,34,280793434,280793434,手工耿,保密,6,False,bilibili 2019百大UP主、知名搞笑UP主,1,"{'时尚': 1, '生活': 135, '资讯': 2, '音乐': 1}",34,4981903,"[163637592, 3957971, 407045223, 456664753, 9824766, 37663924, 290526283, 2200736, 67141499, 436473455, 2403047, 295711424, 808171, 321173469, 37090048, 79061224, 14333871, 20165629, 20530305, 129259501]"
35,35,7584632,7584632,哔哩哔哩纪录片,男,6,True,哔哩哔哩纪录片官方账号,1,"{'动画': 10, '生活': 2, '纪录片': 7197, '美食': 1, '音乐': 1, '娱乐': 92}",104,4966259,"[9008159, 178778949, 32820037, 32660634, 473837611, 402923390, 257975429, 32708543, 808171, 81824112, 9824766, 2206456, 389088, 222103174, 489412051, 477446031, 456664753, 51705359, 1643718, 928123, 321173469, 233114659, 161775300, 2, 20165629, 235555226, 49494871, 26366366, 50329118, 98627270, 9617619, 1328260, 208259, 2306780, 174501086, 4856007, 15773384, 72209046, 258844831, 8047632]"
36,36,5970160,5970160,小潮院长,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 2, '生活': 67, '影视': 1, '美食': 2, '游戏': 197}",88,4979249,"[383444910, 946974, 7655977, 178029850, 163637592, 11870568, 18202105, 3066511, 99157282, 860464, 20951119, 66606350, 147166910, 122879, 777536, 37291782, 4050333, 51896064, 295723, 52250, 9824766, 196356191, 2206456, 113362335, 4408538, 13354765, 808171, 75547577, 92568184, 337521240, 185546, 562197, 2403047, 22298920, 28642491, 1605721, 416128940, 7788379, 8366990, 4162287, 79061224, 250111460, 26240675, 437316738, 279583114, 36825256, 406745134, 285499073, 4578433, 1848018, 9008159, 7552204, 2920960, 43976732, 617285, 4223935, 3957971, 1577804, 20165629, 14254182, 295711424, 390461123, 1918296, 35359510, 168598, 234256, 19642758, 748709, 546195, 433351]"
37,37,32786875,32786875,信誓蛋蛋,男,6,True,bilibili 2018百大UP主、 知名UP主,1,"{'生活': 157, '美食': 16, '知识': 1, '游戏': 2}",43,4878256,"[7792521, 196356191, 10558098, 250858633, 7487399, 17409016, 808171, 62540916, 1565155, 10345615, 290526283, 280793434, 8034163, 185546, 433351, 176037767, 85835398, 37090048, 883968, 122879, 32820037, 164139557, 777536, 8578857, 375375, 123938419, 7714, 7349, 546195, 33683045, 20165629, 8960728, 116683, 2374194, 8047632, 25807917, 30625977, 562197, 1643718, 15834498]"
38,38,437316738,437316738,朱一旦的枯燥生活,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 3, '生活': 254, '影视': 1, '音乐': 3, '知识': 3, '游戏': 1}",49,4830453,"[39627524, 37090048, 25876945, 436473455, 178778949, 163637592, 1565155, 2206456, 26366366, 5970160, 808171, 8047632, 32820037, 315551393, 449773, 176037767, 235555226, 67141499, 9824766, 20165629, 81824112, 3066511, 185546]"
39,39,168598,168598,逍遥散人,男,6,True,bilibili 2019百大UP主、直播签约主播,1,"{'动画': 1, '舞蹈': 1, '时尚': 6, '生活': 33, '资讯': 1, '音乐': 13, '知识': 3, '游戏': 587, '娱乐': 9}",75,4687558,"[9617619, 1531707, 641975239, 2200736, 52165725, 122879, 433351, 208259, 419220, 4408538, 254463269, 1774758, 946974, 163637592, 19642758, 7552204, 15385187, 64137054, 19456751, 174501086, 35581334, 2, 374377]"
40,40,196356191,196356191,翔翔大作战,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'生活': 144, '影视': 1, '数码': 1, '美食': 306, '音乐': 1}",75,4568271,"[390461123, 294081438, 946974, 414641554, 337521240, 9824766, 2920960, 3957971, 163637592, 66391032, 290526283, 18202105, 4474705, 42619059, 67141499, 6574487, 382189062, 75547577, 5970160, 17409016, 20165629, 279583114, 416128940, 10942427, 7552204, 429618480, 9458053, 3032988, 37090048, 92568184, 19642758, 39847479, 11278782, 353539995, 429251, 37961599, 50329118]"
41,41,8960728,8960728,日食记,男,6,True,bilibili 2018百大UP主、 知名美食UP主,1,"{'生活': 5, '纪录片': 6, '美食': 416, '游戏': 1}",9,4511748,[37090048]
42,42,33683045,33683045,张召忠,男,6,True,原国防大学教授，退役海军少将,1,"{'鬼畜': 1, '生活': 22, '纪录片': 2, '资讯': 161, '知识': 226, '娱乐': 1}",12,4494079,"[14583962, 324879, 37090048, 20165629, 8034163]"
43,43,6574487,6574487,纳豆奶奶,女,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 10, '生活': 151, '美食': 15, '音乐': 2, '知识': 1}",50,4506669,"[94114029, 10119428, 345630501, 16206007, 196356191, 517327498, 436473455, 337521240, 99157282, 18202105, 113362335, 450595813, 19642758, 25782796, 9824766, 17409016, 3957971, 62540916, 163637592, 11870568, 37090048, 8047632, 546195, 8366990, 1885078, 168598, 1643718, 423442, 13354765, 466272, 235555226, 375375, 41273726, 3379951, 9008159, 16307541, 4474705, 11278782, 26366366]"
44,44,2920960,2920960,大祥哥来了,男,6,True,bilibili 2019百大UP主、2019年度黑马UP主,1,"{'生活': 7, '美食': 143, '知识': 1, '娱乐': 1}",102,4450543,"[35359510, 476704454, 5294454, 2142762, 2206456, 338927049, 322892, 401742377, 4059920, 18202105, 1871001, 9617619, 50329220, 11253297, 596324576, 50329118, 310702549, 677865752, 2378908, 1962633, 632887, 208259, 641975239, 36207566, 642389251, 1754707, 216156027, 163637592, 11139681, 515015078, 42619059, 315551393, 470156882, 517327498, 436473455, 585267, 444348914, 337521240, 15773384, 455876411, 168598, 5970160, 416128940, 72270557, 546195, 777536, 415479453, 7552204, 125526, 9824766, 39627524, 37090048, 235555226, 20165629, 431047137, 26139491, 3957971, 388699948, 399918500, 684169, 3380239]"
45,45,401742377,401742377,原神,保密,6,True,原神官方账号,1,"{'动画': 5, '生活': 1, '音乐': 4, '游戏': 48}",51,4426325,"[9617619, 50329118, 75, 488836173, 32708543, 1328260, 1351379, 27534330, 11253297]"
46,46,390461123,390461123,徐大sao,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'生活': 6, '资讯': 1, '美食': 664}",2,4395409,[37090048]
47,47,99157282,99157282,盗月社食遇记,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'舞蹈': 1, '生活': 57, '纪录片': 1, '美食': 312, '知识': 2, '娱乐': 2}",412,4404307,"[94281836, 466272, 489412051, 345630501, 29329085, 1531707, 176037767, 23920239, 246370149, 423895, 13118294, 946974, 3957971, 532741557, 8047632, 310702549, 37291782, 37663924, 5970160, 9617619, 3218685, 3066511, 415479453, 598464467, 401742377, 36267054, 43976732, 254463269, 265059948, 8366990, 63231, 9008159, 16794231, 448039667, 30643878, 481470422, 178029850, 2306780, 4408538, 52250, 587840959, 382193067, 36207566, 395936853, 10345615, 473837611, 2206456, 10897973, 32820037, 315898473, 85835398, 449825072, 223146252, 1577804, 430926487, 51896064, 472129071, 41273726, 423442, 416128940, 14110780, 203708804, 299609985, 5374954, 437316738, 3379951, 515993, 235555226, 7552204, 13354765, 168598, 1643718, 113362335, 6574487, 285499073, 337521240, 119801456, 517327498, 11870568, 17409016, 748709, 185546, 346353480, 2728123, 483879799, 279583114, 26139491, 25515594, 254726274, 208259, 352637817, 410964, 62540916, 390461123, 7956629, 20165629, 18202105, 37961599, 382986457]"
48,48,174501086,174501086,哔哩哔哩会员购,保密,6,True,哔哩哔哩会员购 官方账号,1,"{'动画': 101, '番剧': 6, '生活': 23, '数码': 1, '音乐': 27, '知识': 9, '游戏': 3, '娱乐': 3}",158,4227900,"[39101587, 591856754, 4162287, 321173469, 517327498, 332704117, 946974, 163637592, 322892, 489412051, 271442527, 402923390, 32708587, 216025, 6075139, 403748305, 233114659, 14110780, 168598, 98627270, 2306780, 99748932, 50329118, 32708543, 30973654, 6014992, 23920239, 328303954, 26366366, 30643878, 1526101, 8034163, 43536, 6171645, 233108841, 176037767, 3766866, 1473830, 208259, 8047632, 9617619, 235555226, 2, 4856007, 1328260, 7584632, 928123, 37090048]"
49,49,3957971,3957971,贤宝宝Baby,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 1, '生活': 112, '美食': 125, '游戏': 4}",119,4117175,"[174501086, 295723, 430926487, 946974, 334561994, 11100920, 99157282, 350632501, 1754707, 95494347, 25782796, 18020792, 203708804, 476704454, 3331521, 438880209, 17546432, 20951119, 41273726, 16419172, 337521240, 250111460, 406745134, 21330948, 2378908, 1526101, 1420982, 295711424, 26240675, 11616487, 8366990, 7956629, 254463269, 178029850, 227107602, 7788379, 29329085, 25515594, 32820037, 92568184, 338927049, 414641554, 7552204, 431047137, 26139491, 285499073, 147166910, 107486042, 353539995, 52250, 37663924, 416128940, 6574487, 1393437, 37090048, 5970160, 12807175, 2920960, 28642491, 9824766, 4474705, 13354765, 22141287, 43976732, 11278782, 17819768, 19642758, 280793434, 37961599, 7487399, 617285, 4050333, 927587, 2728123, 19286458, 3682229, 26023642, 1532165, 562197, 1565155, 7349, 546195, 1605721, 883968, 122879, 2019740]"
50,50,37090048,37090048,哔哩哔哩创作中心,保密,6,True,哔哩哔哩创作中心官方账号,1,"{'动画': 2, '鬼畜': 1, '时尚': 25, '生活': 34, '数码': 1, '资讯': 3, '美食': 2, '音乐': 1, '知识': 20, '游戏': 1}",1204,3779066,"[6457791, 3353026, 287795639, 4029133, 81824112, 4543111, 321422126, 641591444, 297242063, 63231, 627888730, 489412051, 285571498, 517327498, 92568184, 604003146, 251850212, 254463269, 24738601, 470156882, 3760773, 888465, 486287787, 16351122, 19071708, 1643718, 477631979, 203708804, 295711424, 1951038, 452309333, 216156027, 514019783, 9170987, 535019206, 3433092, 4249401, 50621949, 176756724, 123938419, 249491937, 397076059, 30973654, 161775300, 233108841, 353840826, 382651856, 8581342, 36267054, 34044873, 493570956, 36207566, 686127, 2948981, 2949989, 415479453, 99336697, 353539995, 290548469, 480366389, 391774002, 50298349, 14583962, 345630501, 3066511, 1962633, 5970160, 402923390, 13826185, 369750017, 587840959, 282994, 456664753, 75912367]"
